miRNA,disease,preScore
hsa-mir-4454,Alzheimer Disease,0.161
hsa-mir-6826,Alzheimer Disease,0.1607
hsa-mir-4513,Alzheimer Disease,0.1607
hsa-mir-514a-3,Alzheimer Disease,0.1606
hsa-mir-4633,Alzheimer Disease,0.1605
hsa-mir-6869,Alzheimer Disease,0.1605
hsa-mir-4687,Alzheimer Disease,0.1601
hsa-mir-1185-1,Alzheimer Disease,0.16
hsa-mir-4478,Alzheimer Disease,0.16
hsa-mir-4257,Alzheimer Disease,0.16
hsa-mir-3130-1,Alzheimer Disease,0.159
hsa-mir-3651,Alzheimer Disease,0.1581
hsa-mir-3130-2,Alzheimer Disease,0.1579
hsa-mir-670,Alzheimer Disease,0.1578
hsa-mir-5091,Alzheimer Disease,0.1576
hsa-mir-6853,Alzheimer Disease,0.1575
hsa-mir-3646,Alzheimer Disease,0.1575
hsa-mir-1322,Alzheimer Disease,0.1572
hsa-mir-1255a,Alzheimer Disease,0.1572
hsa-mir-4489,Alzheimer Disease,0.1571
hsa-mir-4290,Alzheimer Disease,0.1565
hsa-mir-1284,Alzheimer Disease,0.1564
hsa-mir-3686,Alzheimer Disease,0.1563
hsa-mir-556,Alzheimer Disease,0.1563
hsa-mir-659,Alzheimer Disease,0.1562
hsa-mir-7702,Alzheimer Disease,0.1561
hsa-mir-3142,Alzheimer Disease,0.1557
hsa-mir-4271,Alzheimer Disease,0.1555
hsa-mir-569,Alzheimer Disease,0.1544
hsa-mir-611,Alzheimer Disease,0.1542
hsa-mir-521-2,Alzheimer Disease,0.1542
hsa-mir-6831,Alzheimer Disease,0.1539
hsa-mir-3179-1,Alzheimer Disease,0.1538
hsa-mir-3131,Alzheimer Disease,0.1535
hsa-mir-4736,Alzheimer Disease,0.1534
hsa-mir-500b,Alzheimer Disease,0.1523
hsa-mir-4530,Alzheimer Disease,0.152
hsa-mir-3176,Alzheimer Disease,0.152
hsa-mir-583,Alzheimer Disease,0.1517
hsa-mir-3074,Alzheimer Disease,0.1517
hsa-mir-641,Alzheimer Disease,0.1516
hsa-mir-4423,Alzheimer Disease,0.1513
hsa-mir-3171,Alzheimer Disease,0.151
hsa-mir-1293,Alzheimer Disease,0.1507
hsa-mir-1261,Alzheimer Disease,0.1505
hsa-mir-3928,Alzheimer Disease,0.1504
hsa-mir-2682,Alzheimer Disease,0.1501
hsa-mir-7107,Alzheimer Disease,0.1488
hsa-mir-1294,Alzheimer Disease,0.1485
hsa-mir-664b,Alzheimer Disease,0.1474
hsa-mir-5590,Alzheimer Disease,0.1467
hsa-mir-4310,Alzheimer Disease,0.1462
hsa-mir-1178,Alzheimer Disease,0.1461
hsa-mir-548p,Alzheimer Disease,0.146
hsa-mir-3664,Alzheimer Disease,0.1455
hsa-mir-1910,Alzheimer Disease,0.1454
hsa-mir-1206,Alzheimer Disease,0.1452
hsa-mir-5189,Alzheimer Disease,0.1452
hsa-mir-3177,Alzheimer Disease,0.1449
hsa-mir-4778,Alzheimer Disease,0.1446
hsa-mir-517b,Alzheimer Disease,0.1445
hsa-mir-3654,Alzheimer Disease,0.1445
hsa-mir-320d-2,Alzheimer Disease,0.144
hsa-mir-6861,Alzheimer Disease,0.1439
hsa-mir-606,Alzheimer Disease,0.1436
hsa-mir-1233-1,Alzheimer Disease,0.1433
hsa-mir-5699,Alzheimer Disease,0.1431
hsa-mir-3186,Alzheimer Disease,0.1429
hsa-mir-656,Alzheimer Disease,0.1426
hsa-mir-4293,Alzheimer Disease,0.1421
hsa-mir-4534,Alzheimer Disease,0.1409
hsa-mir-3908,Alzheimer Disease,0.1408
hsa-mir-3622a,Alzheimer Disease,0.1405
hsa-mir-3179-3,Alzheimer Disease,0.1405
hsa-mir-1264,Alzheimer Disease,0.1403
hsa-mir-889,Alzheimer Disease,0.1402
hsa-mir-6088,Alzheimer Disease,0.1401
hsa-mir-1270,Alzheimer Disease,0.1388
hsa-mir-548b,Alzheimer Disease,0.1383
hsa-mir-4772,Alzheimer Disease,0.138
hsa-mir-3179-2,Alzheimer Disease,0.1379
hsa-mir-562,Alzheimer Disease,0.1377
hsa-mir-4446,Alzheimer Disease,0.1375
hsa-mir-6068,Alzheimer Disease,0.136
hsa-mir-568,Alzheimer Disease,0.136
hsa-mir-1976,Alzheimer Disease,0.1355
hsa-mir-642b,Alzheimer Disease,0.1348
hsa-mir-3614,Alzheimer Disease,0.1347
hsa-mir-487a,Alzheimer Disease,0.1331
hsa-mir-4709,Alzheimer Disease,0.1328
hsa-mir-941-3,Alzheimer Disease,0.1326
hsa-mir-3667,Alzheimer Disease,0.1323
hsa-mir-3157,Alzheimer Disease,0.1312
hsa-mir-941-1,Alzheimer Disease,0.1302
hsa-mir-5586,Alzheimer Disease,0.1299
hsa-mir-6086,Alzheimer Disease,0.1298
hsa-mir-664a,Alzheimer Disease,0.1298
hsa-mir-3925,Alzheimer Disease,0.1296
hsa-mir-4279,Alzheimer Disease,0.1291
hsa-mir-4488,Alzheimer Disease,0.1288
hsa-mir-3714,Alzheimer Disease,0.1287
hsa-mir-633,Alzheimer Disease,0.1281
hsa-mir-4496,Alzheimer Disease,0.1278
hsa-mir-6133,Alzheimer Disease,0.1274
hsa-mir-891a,Alzheimer Disease,0.1267
hsa-mir-6838,Alzheimer Disease,0.1236
hsa-mir-4758,Alzheimer Disease,0.1232
hsa-mir-4701,Alzheimer Disease,0.1231
hsa-mir-4505,Alzheimer Disease,0.1229
hsa-mir-548a-1,Alzheimer Disease,0.1226
hsa-mir-3135b,Alzheimer Disease,0.1226
hsa-mir-662,Alzheimer Disease,0.1222
hsa-mir-1276,Alzheimer Disease,0.1214
hsa-mir-1237,Alzheimer Disease,0.1209
hsa-mir-518f,Alzheimer Disease,0.1207
hsa-mir-4666a,Alzheimer Disease,0.1205
hsa-mir-6799,Alzheimer Disease,0.1203
hsa-mir-374c,Alzheimer Disease,0.119
hsa-mir-4672,Alzheimer Disease,0.1185
hsa-mir-4458,Alzheimer Disease,0.1185
hsa-mir-548a-3,Alzheimer Disease,0.1183
hsa-mir-4511,Alzheimer Disease,0.1179
hsa-mir-596,Alzheimer Disease,0.1173
hsa-mir-1324,Alzheimer Disease,0.1148
hsa-mir-1302-4,Alzheimer Disease,0.1146
hsa-mir-4661,Alzheimer Disease,0.1138
hsa-mir-941-4,Alzheimer Disease,0.1135
hsa-mir-1302-1,Alzheimer Disease,0.1134
hsa-mir-1302-7,Alzheimer Disease,0.1131
hsa-mir-550b-2,Alzheimer Disease,0.113
hsa-mir-3923,Alzheimer Disease,0.1129
hsa-mir-3201,Alzheimer Disease,0.1128
hsa-mir-550b-1,Alzheimer Disease,0.1122
hsa-mir-1302-8,Alzheimer Disease,0.1121
hsa-mir-9500,Alzheimer Disease,0.1116
hsa-mir-6873,Alzheimer Disease,0.1114
hsa-mir-521-1,Alzheimer Disease,0.1113
hsa-mir-934,Alzheimer Disease,0.1111
hsa-mir-548a-2,Alzheimer Disease,0.111
hsa-mir-4717,Alzheimer Disease,0.1101
hsa-mir-619,Alzheimer Disease,0.1099
hsa-mir-4436b-1,Alzheimer Disease,0.1088
hsa-mir-1302-3,Alzheimer Disease,0.1082
hsa-mir-1302-6,Alzheimer Disease,0.108
hsa-mir-4448,Alzheimer Disease,0.1076
hsa-mir-8084,Alzheimer Disease,0.1075
hsa-mir-4508,Alzheimer Disease,0.1068
hsa-mir-6880,Alzheimer Disease,0.1044
hsa-mir-3138,Alzheimer Disease,0.1043
hsa-mir-1972-1,Alzheimer Disease,0.1042
hsa-mir-1183,Alzheimer Disease,0.1029
hsa-mir-6508,Alzheimer Disease,0.1018
hsa-mir-1302-5,Alzheimer Disease,0.1013
hsa-mir-3195,Alzheimer Disease,0.1008
hsa-mir-548k,Alzheimer Disease,0.0998
hsa-mir-3945,Alzheimer Disease,0.0993
hsa-mir-6721,Alzheimer Disease,0.0974
hsa-mir-1302-2,Alzheimer Disease,0.096
hsa-mir-6836,Alzheimer Disease,0.0946
hsa-mir-1295a,Alzheimer Disease,0.0936
hsa-mir-4294,Alzheimer Disease,0.0924
hsa-mir-1909,Alzheimer Disease,0.0893
hsa-mir-3161,Alzheimer Disease,0.0873
hsa-mir-4490,Alzheimer Disease,0.0863
hsa-mir-4753,Alzheimer Disease,0.0845
hsa-mir-4476,Alzheimer Disease,0.0832
hsa-mir-3185,Alzheimer Disease,0.082
hsa-mir-6075,Alzheimer Disease,0.0778
hsa-mir-3620,Alzheimer Disease,0.0773
hsa-mir-4793,Alzheimer Disease,0.0772
hsa-mir-4649,Alzheimer Disease,0.0765
hsa-mir-4721,Alzheimer Disease,0.0755
hsa-mir-3909,Alzheimer Disease,0.0755
hsa-mir-676,Alzheimer Disease,0.0744
hsa-mir-4429,Alzheimer Disease,0.0733
hsa-mir-4480,Alzheimer Disease,0.0719
hsa-mir-6069,Alzheimer Disease,0.0718
hsa-mir-555,Alzheimer Disease,0.0717
hsa-mir-6720,Alzheimer Disease,0.0706
hsa-mir-6886,Alzheimer Disease,0.0646
hsa-mir-4436b-2,Alzheimer Disease,0.0622
hsa-mir-4639,Alzheimer Disease,0.0563
hsa-mir-483,Breast Neoplasms,0.9634
hsa-mir-28,Breast Neoplasms,0.8761
hsa-mir-300,Breast Neoplasms,0.8197
hsa-mir-138-1,Breast Neoplasms,0.8171
hsa-mir-422a,Breast Neoplasms,0.8156
hsa-mir-186,Breast Neoplasms,0.8103
hsa-mir-1297,Breast Neoplasms,0.7982
hsa-mir-1271,Breast Neoplasms,0.7958
hsa-mir-138-2,Breast Neoplasms,0.7837
hsa-mir-154,Breast Neoplasms,0.7771
hsa-mir-181d,Breast Neoplasms,0.7752
hsa-mir-513c,Breast Neoplasms,0.7748
hsa-mir-99b,Breast Neoplasms,0.7716
hsa-mir-885,Breast Neoplasms,0.7686
hsa-mir-490,Breast Neoplasms,0.7607
hsa-mir-433,Breast Neoplasms,0.7495
hsa-mir-382,Breast Neoplasms,0.746
hsa-mir-95,Breast Neoplasms,0.736
hsa-mir-432,Breast Neoplasms,0.7193
hsa-mir-504,Breast Neoplasms,0.7185
hsa-mir-369,Breast Neoplasms,0.7184
hsa-mir-136,Breast Neoplasms,0.713
hsa-mir-517a,Breast Neoplasms,0.7027
hsa-mir-532,Breast Neoplasms,0.7012
hsa-mir-524,Breast Neoplasms,0.6995
hsa-mir-552,Breast Neoplasms,0.6989
hsa-mir-431,Breast Neoplasms,0.6968
hsa-mir-646,Breast Neoplasms,0.6958
hsa-mir-454,Breast Neoplasms,0.6948
hsa-mir-518e,Breast Neoplasms,0.6928
hsa-mir-181a-1,Breast Neoplasms,0.6918
hsa-mir-766,Breast Neoplasms,0.6896
hsa-mir-635,Breast Neoplasms,0.688
hsa-mir-1224,Breast Neoplasms,0.6874
hsa-mir-604,Breast Neoplasms,0.687
hsa-mir-19b-2,Breast Neoplasms,0.6839
hsa-mir-761,Breast Neoplasms,0.6767
hsa-mir-636,Breast Neoplasms,0.6761
hsa-mir-658,Breast Neoplasms,0.6751
hsa-mir-362,Breast Neoplasms,0.6728
hsa-mir-665,Breast Neoplasms,0.6713
hsa-mir-3189,Breast Neoplasms,0.6708
hsa-mir-337,Breast Neoplasms,0.6682
hsa-mir-376a-2,Breast Neoplasms,0.668
hsa-mir-188,Breast Neoplasms,0.6613
hsa-mir-622,Breast Neoplasms,0.6554
hsa-mir-513b,Breast Neoplasms,0.6549
hsa-mir-211,Breast Neoplasms,0.6508
hsa-mir-522,Breast Neoplasms,0.6491
hsa-mir-5010,Breast Neoplasms,0.6446
hsa-mir-539,Breast Neoplasms,0.6435
hsa-mir-371a,Breast Neoplasms,0.6415
hsa-mir-4697,Breast Neoplasms,0.6394
hsa-mir-616,Breast Neoplasms,0.639
hsa-mir-512-2,Breast Neoplasms,0.6389
hsa-mir-637,Breast Neoplasms,0.6387
hsa-mir-507,Breast Neoplasms,0.6372
hsa-mir-1292,Breast Neoplasms,0.6347
hsa-mir-595,Breast Neoplasms,0.6343
hsa-mir-3131,Breast Neoplasms,0.6329
hsa-mir-216a,Breast Neoplasms,0.6307
hsa-mir-208b,Breast Neoplasms,0.6307
hsa-mir-4782,Breast Neoplasms,0.6273
hsa-mir-501,Breast Neoplasms,0.627
hsa-mir-519a-1,Breast Neoplasms,0.6258
hsa-mir-487b,Breast Neoplasms,0.6243
hsa-mir-612,Breast Neoplasms,0.6231
hsa-mir-520f,Breast Neoplasms,0.6231
hsa-mir-4455,Breast Neoplasms,0.6229
hsa-mir-1249,Breast Neoplasms,0.6211
hsa-mir-544a,Breast Neoplasms,0.6203
hsa-mir-557,Breast Neoplasms,0.6196
hsa-mir-615,Breast Neoplasms,0.619
hsa-mir-600,Breast Neoplasms,0.6184
hsa-mir-1231,Breast Neoplasms,0.617
hsa-mir-500a,Breast Neoplasms,0.6156
hsa-mir-545,Breast Neoplasms,0.6144
hsa-mir-889,Breast Neoplasms,0.6129
hsa-mir-323b,Breast Neoplasms,0.6121
hsa-mir-601,Breast Neoplasms,0.6115
hsa-mir-3151,Breast Neoplasms,0.6101
hsa-mir-378g,Breast Neoplasms,0.6094
hsa-mir-7706,Breast Neoplasms,0.6088
hsa-mir-1180,Breast Neoplasms,0.606
hsa-mir-1468,Breast Neoplasms,0.604
hsa-mir-297,Breast Neoplasms,0.6023
hsa-mir-1299,Breast Neoplasms,0.6
hsa-mir-610,Breast Neoplasms,0.5997
hsa-mir-5590,Breast Neoplasms,0.5985
hsa-mir-7702,Breast Neoplasms,0.5983
hsa-mir-644a,Breast Neoplasms,0.5973
hsa-mir-499b,Breast Neoplasms,0.5958
hsa-mir-518b,Breast Neoplasms,0.5952
hsa-mir-548j,Breast Neoplasms,0.5948
hsa-mir-451b,Breast Neoplasms,0.5934
hsa-mir-624,Breast Neoplasms,0.5934
hsa-mir-3126,Breast Neoplasms,0.5932
hsa-mir-1296,Breast Neoplasms,0.5926
hsa-mir-543,Breast Neoplasms,0.5924
hsa-mir-514b,Breast Neoplasms,0.5923
hsa-mir-6852,Breast Neoplasms,0.5921
hsa-mir-1233-1,Breast Neoplasms,0.5918
hsa-mir-378b,Breast Neoplasms,0.5897
hsa-mir-4463,Breast Neoplasms,0.5889
hsa-mir-582,Breast Neoplasms,0.5859
hsa-mir-3182,Breast Neoplasms,0.5858
hsa-mir-4317,Breast Neoplasms,0.5845
hsa-mir-1269a,Breast Neoplasms,0.5839
hsa-mir-2110,Breast Neoplasms,0.5835
hsa-mir-1260b,Breast Neoplasms,0.5831
hsa-mir-1306,Breast Neoplasms,0.5814
hsa-mir-544b,Breast Neoplasms,0.5799
hsa-mir-4731,Breast Neoplasms,0.5794
hsa-mir-655,Breast Neoplasms,0.5785
hsa-mir-4447,Breast Neoplasms,0.5785
hsa-mir-1260a,Breast Neoplasms,0.5782
hsa-mir-599,Breast Neoplasms,0.5748
hsa-mir-1914,Breast Neoplasms,0.5722
hsa-mir-4775,Breast Neoplasms,0.5719
hsa-mir-511,Breast Neoplasms,0.5707
hsa-mir-1233-2,Breast Neoplasms,0.5704
hsa-mir-412,Breast Neoplasms,0.5701
hsa-mir-4291,Breast Neoplasms,0.5688
hsa-mir-3120,Breast Neoplasms,0.5686
hsa-mir-380,Breast Neoplasms,0.5675
hsa-mir-376a-1,Breast Neoplasms,0.5671
hsa-mir-647,Breast Neoplasms,0.567
hsa-mir-3940,Breast Neoplasms,0.5659
hsa-mir-4706,Breast Neoplasms,0.5658
hsa-mir-1295b,Breast Neoplasms,0.5656
hsa-mir-4723,Breast Neoplasms,0.5651
hsa-mir-519a-2,Breast Neoplasms,0.5651
hsa-mir-518c,Breast Neoplasms,0.5633
hsa-mir-602,Breast Neoplasms,0.5629
hsa-mir-4695,Breast Neoplasms,0.5618
hsa-mir-1908,Breast Neoplasms,0.5616
hsa-mir-1229,Breast Neoplasms,0.5614
hsa-mir-5091,Breast Neoplasms,0.5595
hsa-mir-6853,Breast Neoplasms,0.5592
hsa-mir-1301,Breast Neoplasms,0.5591
hsa-mir-525,Breast Neoplasms,0.5591
hsa-mir-767,Breast Neoplasms,0.5574
hsa-mir-5003,Breast Neoplasms,0.5574
hsa-mir-323a,Breast Neoplasms,0.5563
hsa-mir-670,Breast Neoplasms,0.5546
hsa-mir-153-1,Breast Neoplasms,0.5546
hsa-mir-572,Breast Neoplasms,0.554
hsa-mir-5582,Breast Neoplasms,0.5531
hsa-mir-1236,Breast Neoplasms,0.553
hsa-mir-4518,Breast Neoplasms,0.5518
hsa-mir-4489,Breast Neoplasms,0.5518
hsa-mir-4732,Breast Neoplasms,0.5516
hsa-mir-541,Breast Neoplasms,0.5513
hsa-mir-4449,Breast Neoplasms,0.5502
hsa-mir-876,Breast Neoplasms,0.5497
hsa-mir-519b,Breast Neoplasms,0.5497
hsa-mir-3677,Breast Neoplasms,0.5495
hsa-mir-4516,Breast Neoplasms,0.5495
hsa-mir-944,Breast Neoplasms,0.5491
hsa-mir-3065,Breast Neoplasms,0.5482
hsa-mir-579,Breast Neoplasms,0.5478
hsa-mir-6133,Breast Neoplasms,0.5456
hsa-mir-512-1,Breast Neoplasms,0.5454
hsa-mir-527,Breast Neoplasms,0.5453
hsa-mir-4466,Breast Neoplasms,0.545
hsa-mir-4281,Breast Neoplasms,0.5448
hsa-mir-1284,Breast Neoplasms,0.5444
hsa-mir-1273c,Breast Neoplasms,0.542
hsa-mir-4467,Breast Neoplasms,0.5417
hsa-mir-550a-2,Breast Neoplasms,0.5411
hsa-mir-4764,Breast Neoplasms,0.5397
hsa-mir-938,Breast Neoplasms,0.5392
hsa-mir-620,Breast Neoplasms,0.5387
hsa-mir-4286,Breast Neoplasms,0.5386
hsa-mir-3148,Breast Neoplasms,0.5385
hsa-mir-7161,Breast Neoplasms,0.5381
hsa-mir-6124,Breast Neoplasms,0.5367
hsa-mir-4302,Breast Neoplasms,0.5359
hsa-mir-548d-1,Breast Neoplasms,0.534
hsa-mir-378c,Breast Neoplasms,0.5333
hsa-mir-654,Breast Neoplasms,0.5331
hsa-mir-587,Breast Neoplasms,0.5322
hsa-mir-548d-2,Breast Neoplasms,0.5319
hsa-mir-514a-3,Breast Neoplasms,0.5318
hsa-mir-6729,Breast Neoplasms,0.5312
hsa-mir-1267,Breast Neoplasms,0.531
hsa-mir-1324,Breast Neoplasms,0.5304
hsa-mir-664a,Breast Neoplasms,0.5283
hsa-mir-3658,Breast Neoplasms,0.5276
hsa-mir-4271,Breast Neoplasms,0.5274
hsa-mir-626,Breast Neoplasms,0.5272
hsa-mir-3175,Breast Neoplasms,0.5263
hsa-mir-571,Breast Neoplasms,0.5262
hsa-mir-5100,Breast Neoplasms,0.5253
hsa-mir-581,Breast Neoplasms,0.5252
hsa-mir-302e,Breast Neoplasms,0.5247
hsa-mir-6831,Breast Neoplasms,0.5242
hsa-mir-1181,Breast Neoplasms,0.5241
hsa-mir-3610,Breast Neoplasms,0.5235
hsa-mir-764,Breast Neoplasms,0.5235
hsa-mir-1285-2,Breast Neoplasms,0.523
hsa-mir-6799,Breast Neoplasms,0.5229
hsa-mir-3127,Breast Neoplasms,0.5224
hsa-mir-3664,Breast Neoplasms,0.5223
hsa-mir-3622b,Breast Neoplasms,0.5222
hsa-mir-378d-2,Breast Neoplasms,0.5216
hsa-mir-518a-2,Breast Neoplasms,0.5205
hsa-mir-2116,Breast Neoplasms,0.5203
hsa-mir-514a-2,Breast Neoplasms,0.5199
hsa-mir-4326,Breast Neoplasms,0.5193
hsa-mir-518a-1,Breast Neoplasms,0.5193
hsa-mir-523,Breast Neoplasms,0.5179
hsa-mir-378d-1,Breast Neoplasms,0.5174
hsa-mir-1282,Breast Neoplasms,0.5174
hsa-mir-589,Breast Neoplasms,0.5172
hsa-mir-4319,Breast Neoplasms,0.5171
hsa-mir-1281,Breast Neoplasms,0.5168
hsa-mir-758,Breast Neoplasms,0.5166
hsa-mir-1256,Breast Neoplasms,0.5166
hsa-mir-466,Breast Neoplasms,0.5163
hsa-mir-105-2,Breast Neoplasms,0.5162
hsa-mir-4746,Breast Neoplasms,0.5142
hsa-mir-105-1,Breast Neoplasms,0.5135
hsa-mir-3928,Breast Neoplasms,0.5129
hsa-mir-6867,Breast Neoplasms,0.5121
hsa-mir-1185-1,Breast Neoplasms,0.5121
hsa-mir-3117,Breast Neoplasms,0.512
hsa-mir-1293,Breast Neoplasms,0.5117
hsa-mir-4739,Breast Neoplasms,0.5103
hsa-mir-3651,Breast Neoplasms,0.5103
hsa-mir-1538,Breast Neoplasms,0.5103
hsa-mir-1305,Breast Neoplasms,0.51
hsa-mir-4301,Breast Neoplasms,0.5091
hsa-mir-606,Breast Neoplasms,0.5091
hsa-mir-4772,Breast Neoplasms,0.5088
hsa-mir-4496,Breast Neoplasms,0.5087
hsa-mir-3662,Breast Neoplasms,0.5086
hsa-mir-1179,Breast Neoplasms,0.5072
hsa-mir-920,Breast Neoplasms,0.5068
hsa-mir-1304,Breast Neoplasms,0.5064
hsa-mir-3654,Breast Neoplasms,0.5057
hsa-mir-6088,Breast Neoplasms,0.5048
hsa-mir-5004,Breast Neoplasms,0.5048
hsa-mir-3171,Breast Neoplasms,0.5046
hsa-mir-3163,Breast Neoplasms,0.5036
hsa-mir-4324,Breast Neoplasms,0.5032
hsa-mir-4478,Breast Neoplasms,0.5031
hsa-mir-4295,Breast Neoplasms,0.503
hsa-mir-657,Breast Neoplasms,0.5025
hsa-mir-769,Breast Neoplasms,0.5012
hsa-mir-4469,Breast Neoplasms,0.5011
hsa-mir-933,Breast Neoplasms,0.4993
hsa-mir-3176,Breast Neoplasms,0.4991
hsa-mir-643,Breast Neoplasms,0.4977
hsa-mir-3619,Breast Neoplasms,0.4969
hsa-mir-4633,Breast Neoplasms,0.4962
hsa-mir-943,Breast Neoplasms,0.4959
hsa-mir-550a-3,Breast Neoplasms,0.4957
hsa-mir-3074,Breast Neoplasms,0.4957
hsa-mir-3201,Breast Neoplasms,0.4943
hsa-mir-1285-1,Breast Neoplasms,0.4922
hsa-mir-591,Breast Neoplasms,0.4922
hsa-mir-921,Breast Neoplasms,0.4922
hsa-mir-3960,Breast Neoplasms,0.4912
hsa-mir-558,Breast Neoplasms,0.4905
hsa-mir-1206,Breast Neoplasms,0.4903
hsa-mir-4270,Breast Neoplasms,0.49
hsa-mir-664b,Breast Neoplasms,0.4896
hsa-mir-329-1,Breast Neoplasms,0.4888
hsa-mir-3157,Breast Neoplasms,0.4885
hsa-mir-4666a,Breast Neoplasms,0.4884
hsa-mir-4534,Breast Neoplasms,0.4883
hsa-mir-378i,Breast Neoplasms,0.4879
hsa-mir-5189,Breast Neoplasms,0.4877
hsa-mir-4487,Breast Neoplasms,0.487
hsa-mir-3686,Breast Neoplasms,0.4865
hsa-mir-378e,Breast Neoplasms,0.486
hsa-mir-551a,Breast Neoplasms,0.4859
hsa-mir-4282,Breast Neoplasms,0.4856
hsa-mir-577,Breast Neoplasms,0.485
hsa-mir-937,Breast Neoplasms,0.4849
hsa-mir-517c,Breast Neoplasms,0.4847
hsa-mir-4458,Breast Neoplasms,0.4819
hsa-mir-23c,Breast Neoplasms,0.4805
hsa-mir-329-2,Breast Neoplasms,0.4801
hsa-mir-4758,Breast Neoplasms,0.4782
hsa-mir-548ac,Breast Neoplasms,0.4776
hsa-mir-6508,Breast Neoplasms,0.4773
hsa-mir-3976,Breast Neoplasms,0.4771
hsa-mir-3667,Breast Neoplasms,0.4769
hsa-mir-3666,Breast Neoplasms,0.4764
hsa-mir-548l,Breast Neoplasms,0.4764
hsa-mir-4293,Breast Neoplasms,0.4761
hsa-mir-1291,Breast Neoplasms,0.4754
hsa-mir-4701,Breast Neoplasms,0.4741
hsa-mir-1825,Breast Neoplasms,0.4731
hsa-mir-4268,Breast Neoplasms,0.472
hsa-mir-3142,Breast Neoplasms,0.4717
hsa-mir-1184-1,Breast Neoplasms,0.4711
hsa-mir-1255a,Breast Neoplasms,0.4708
hsa-mir-556,Breast Neoplasms,0.4705
hsa-mir-891a,Breast Neoplasms,0.4702
hsa-mir-3611,Breast Neoplasms,0.4702
hsa-mir-4446,Breast Neoplasms,0.4697
hsa-mir-4294,Breast Neoplasms,0.4692
hsa-mir-3179-3,Breast Neoplasms,0.4692
hsa-mir-634,Breast Neoplasms,0.4687
hsa-mir-3144,Breast Neoplasms,0.4686
hsa-mir-1270,Breast Neoplasms,0.4684
hsa-mir-1182,Breast Neoplasms,0.4679
hsa-mir-4661,Breast Neoplasms,0.4677
hsa-mir-5193,Breast Neoplasms,0.4673
hsa-mir-1234,Breast Neoplasms,0.467
hsa-mir-3614,Breast Neoplasms,0.4669
hsa-mir-514a-1,Breast Neoplasms,0.4659
hsa-mir-4500,Breast Neoplasms,0.4653
hsa-mir-371b,Breast Neoplasms,0.4652
hsa-mir-3925,Breast Neoplasms,0.4645
hsa-mir-6798,Breast Neoplasms,0.4643
hsa-mir-4310,Breast Neoplasms,0.4642
hsa-mir-877,Breast Neoplasms,0.4623
hsa-mir-1253,Breast Neoplasms,0.4618
hsa-mir-378f,Breast Neoplasms,0.461
hsa-mir-548an,Breast Neoplasms,0.461
hsa-mir-5586,Breast Neoplasms,0.4606
hsa-mir-4290,Breast Neoplasms,0.46
hsa-mir-3915,Breast Neoplasms,0.4592
hsa-mir-1322,Breast Neoplasms,0.4584
hsa-mir-1265,Breast Neoplasms,0.4583
hsa-mir-3135b,Breast Neoplasms,0.4579
hsa-mir-1910,Breast Neoplasms,0.4578
hsa-mir-521-2,Breast Neoplasms,0.4575
hsa-mir-378h,Breast Neoplasms,0.4574
hsa-mir-3179-2,Breast Neoplasms,0.4572
hsa-mir-6086,Breast Neoplasms,0.4572
hsa-mir-509-1,Breast Neoplasms,0.4558
hsa-mir-3622a,Breast Neoplasms,0.4549
hsa-mir-5699,Breast Neoplasms,0.4547
hsa-mir-569,Breast Neoplasms,0.4546
hsa-mir-648,Breast Neoplasms,0.4545
hsa-mir-325,Breast Neoplasms,0.4543
hsa-mir-3714,Breast Neoplasms,0.4541
hsa-mir-633,Breast Neoplasms,0.4524
hsa-mir-1276,Breast Neoplasms,0.4521
hsa-mir-449c,Breast Neoplasms,0.4515
hsa-mir-4511,Breast Neoplasms,0.4503
hsa-mir-662,Breast Neoplasms,0.45
hsa-mir-4448,Breast Neoplasms,0.4479
hsa-mir-6126,Breast Neoplasms,0.4471
hsa-mir-3162,Breast Neoplasms,0.4463
hsa-mir-619,Breast Neoplasms,0.4457
hsa-mir-3149,Breast Neoplasms,0.4454
hsa-mir-649,Breast Neoplasms,0.4438
hsa-mir-548a-3,Breast Neoplasms,0.4437
hsa-mir-6838,Breast Neoplasms,0.4407
hsa-mir-614,Breast Neoplasms,0.4406
hsa-mir-639,Breast Neoplasms,0.4396
hsa-mir-509-3,Breast Neoplasms,0.4392
hsa-mir-645,Breast Neoplasms,0.4392
hsa-mir-935,Breast Neoplasms,0.4388
hsa-mir-663b,Breast Neoplasms,0.4387
hsa-mir-376b,Breast Neoplasms,0.4378
hsa-mir-934,Breast Neoplasms,0.4375
hsa-mir-500b,Breast Neoplasms,0.4362
hsa-mir-4429,Breast Neoplasms,0.4353
hsa-mir-4513,Breast Neoplasms,0.4352
hsa-mir-1264,Breast Neoplasms,0.4347
hsa-mir-550b-1,Breast Neoplasms,0.4346
hsa-mir-640,Breast Neoplasms,0.4343
hsa-mir-521-1,Breast Neoplasms,0.4341
hsa-mir-656,Breast Neoplasms,0.4339
hsa-mir-6880,Breast Neoplasms,0.4326
hsa-mir-4476,Breast Neoplasms,0.4319
hsa-mir-3179-1,Breast Neoplasms,0.4316
hsa-mir-6869,Breast Neoplasms,0.4309
hsa-mir-585,Breast Neoplasms,0.4306
hsa-mir-517b,Breast Neoplasms,0.4293
hsa-mir-6069,Breast Neoplasms,0.4281
hsa-mir-550b-2,Breast Neoplasms,0.4279
