circRNA,disease,preScore
hsa_circ_0001741,Colorectal cancer,0.4373
hsa_circ_0111277,Colorectal cancer,0.4371
hsa_circ_0054537,Colorectal cancer,0.4371
hsa_circ_0100989,Colorectal cancer,0.437
hsa_circ_0112085,Colorectal cancer,0.4369
circ_0005230,Colorectal cancer,0.4368
hsa_circ_0018429,Colorectal cancer,0.4368
hsa_circ_0017250,Colorectal cancer,0.4366
hsa_circ_0015278,Colorectal cancer,0.4366
hsa_circ_0131235,Colorectal cancer,0.4364
hsa_circ_0006251,Colorectal cancer,0.4364
hsa_circ_0088483,Colorectal cancer,0.4363
hsa_circ_0002623,Colorectal cancer,0.4362
hsa_circ_0005406,Colorectal cancer,0.436
hsa_circ_0000825,Colorectal cancer,0.436
hsa_circ_0077765,Colorectal cancer,0.4359
hsa_circ_0000911,Colorectal cancer,0.4355
hsa_circ_0009143,Colorectal cancer,0.4354
hsa_circ_0082352,Colorectal cancer,0.4353
hsa_circ_0004264,Colorectal cancer,0.4352
hsa_circ_0056288,Colorectal cancer,0.4349
hsa_circ_0006872,Colorectal cancer,0.4349
circ_0002770,Colorectal cancer,0.4349
hsa_circ_0004491,Colorectal cancer,0.4348
hsa_circ_0000119,Colorectal cancer,0.4348
circ_0001730,Colorectal cancer,0.4348
hsa_circ_0068481,Colorectal cancer,0.4347
hsa_circ_0002113,Colorectal cancer,0.4347
hsa_circ_0006332,Colorectal cancer,0.4346
circ_0049663,Colorectal cancer,0.4345
hsa_circ_0008898,Colorectal cancer,0.4344
hsa_circ_0058106,Colorectal cancer,0.4343
hsa_circ_0078715,Colorectal cancer,0.4342
hsa_circ_0000893,Colorectal cancer,0.434
hsa_circ_0043634,Colorectal cancer,0.4338
hsa_circ_0088422,Colorectal cancer,0.4337
hsa_circ_0101113,Colorectal cancer,0.4336
hsa_circ_0000267,Colorectal cancer,0.4336
hsa_circ_0004379,Colorectal cancer,0.4335
hsa_circ_0001829,Colorectal cancer,0.4335
hsa_circ_0101692,Colorectal cancer,0.4334
hsa_circ_0067997,Colorectal cancer,0.4333
hsa_circ_0000651,Colorectal cancer,0.4331
hsa_circ_0092516,Colorectal cancer,0.4331
hsa_circ_0101308,Colorectal cancer,0.4329
hsa_circ_0001766,Colorectal cancer,0.4327
hsa_circ_0018293,Colorectal cancer,0.4326
hsa_circ_0104852,Colorectal cancer,0.4325
hsa_circ_0045714,Colorectal cancer,0.4324
hsa_circ_0000471,Colorectal cancer,0.4322
hsa_circ_0001875,Colorectal cancer,0.4319
hsa_circ_0049730,Colorectal cancer,0.4317
hsa_circ_0001492,Colorectal cancer,0.4317
hsa_circ_0000274,Colorectal cancer,0.4317
hsa_circ_0024097,Colorectal cancer,0.4317
hsa_circ_0003915,Colorectal cancer,0.4316
hsa_circ_0007482,Colorectal cancer,0.4315
hsa_circ_0033074,Colorectal cancer,0.4314
hsa_circ_0070269,Colorectal cancer,0.4314
hsa_circ_0001522,Colorectal cancer,0.4314
hsa_circ_0002980,Colorectal cancer,0.4311
hsa_circ_0061274,Colorectal cancer,0.4308
hsa_circ_0092276,Colorectal cancer,0.4306
hsa_circ_0004619,Colorectal cancer,0.4306
hsa_circ_0002485,Colorectal cancer,0.4306
hsa_circ_0002569,Colorectal cancer,0.4305
circ_0003645,Colorectal cancer,0.4305
circ_0007444,Colorectal cancer,0.4304
hsa_circ_0106800,Colorectal cancer,0.4304
hsa_circ_0000384,Colorectal cancer,0.4303
circ_0019692,Colorectal cancer,0.4301
hsa_circ_0098619,Colorectal cancer,0.43
hsa_circ_0000488,Colorectal cancer,0.43
hsa_circ_0011946,Colorectal cancer,0.43
hsa_circ_0046264,Colorectal cancer,0.4296
hsa_circ_001730,Colorectal cancer,0.4295
hsa_circ_0001206,Colorectal cancer,0.4294
hsa_circ_0063809,Colorectal cancer,0.4293
hsa_circ_0005909,Colorectal cancer,0.4292
hsa_circ_0088088,Colorectal cancer,0.4291
circ_0046701,Colorectal cancer,0.429
hsa_circ_0000740,Colorectal cancer,0.4285
hsa_circ_0047905,Colorectal cancer,0.4282
hsa_circ_0012563,Colorectal cancer,0.428
hsa_circ_0003418,Colorectal cancer,0.4279
hsa_circ_0002888,Colorectal cancer,0.4277
hsa_circ_0045602,Colorectal cancer,0.4276
hsa_circ_0057104,Colorectal cancer,0.4274
hsa_circ_0000993,Colorectal cancer,0.4274
hsa_circ_0001727,Colorectal cancer,0.4274
hsa_circ_0007331,Colorectal cancer,0.4273
circ_0040865,Colorectal cancer,0.4272
hsa_circ_0003456,Colorectal cancer,0.4272
hsa_circ_0000320,Colorectal cancer,0.4271
hsa_circ_0004458,Colorectal cancer,0.4269
hsa_circ_0046701,Colorectal cancer,0.4265
hsa_circ_0035381,Colorectal cancer,0.4263
hsa_circ_0004712,Colorectal cancer,0.4263
hsa_circ_0103021,Colorectal cancer,0.4263
hsa_circ_0003893,Colorectal cancer,0.426
hsa_circ_0008360,Colorectal cancer,0.4259
hsa_circ_0008267,Colorectal cancer,0.4259
hsa_circ_0005986,Colorectal cancer,0.4258
hsa_circ_0003611,Colorectal cancer,0.4257
hsa_circ_0003594,Colorectal cancer,0.4254
hsa_circ_0023117,Colorectal cancer,0.4252
hsa_circ_0102231,Colorectal cancer,0.4251
hsa_circ_0078607,Colorectal cancer,0.4251
circ_0053772,Colorectal cancer,0.425
hsa_circ_0000700,Colorectal cancer,0.4249
hsa_circ_0003838,Colorectal cancer,0.4249
hsa_circ_0014243,Colorectal cancer,0.4245
hsa_circ_0138960,Colorectal cancer,0.424
hsa_circ_0008797,Colorectal cancer,0.424
hsa_circ_0000885,Colorectal cancer,0.4239
hsa_circ_0045510,Colorectal cancer,0.4239
hsa_circ_0007142,Colorectal cancer,0.4237
hsa_circ_0019456,Colorectal cancer,0.4234
hsa_circ_0000799,Colorectal cancer,0.4232
hsa_circ_0007294,Colorectal cancer,0.4232
hsa_circ_0099476,Colorectal cancer,0.4231
hsa_circ_0000075,Colorectal cancer,0.423
hsa_circ_0000118,Colorectal cancer,0.4229
hsa_circ_0122319,Colorectal cancer,0.4226
hsa_circ_0005505,Colorectal cancer,0.4223
hsa_circ_0072304,Colorectal cancer,0.4223
hsa_circ_0056731,Colorectal cancer,0.4222
hsa_circ_0080975,Colorectal cancer,0.422
hsa_circ_0081342,Colorectal cancer,0.4219
hsa_circ_0041946,Colorectal cancer,0.4214
hsa_circ_0000181,Colorectal cancer,0.421
hsa_circ_0056285,Colorectal cancer,0.421
hsa_circ_0001074,Colorectal cancer,0.4209
hsa_circ_0008549,Colorectal cancer,0.4207
hsa_circ_0068942,Colorectal cancer,0.4207
hsa_circ_0006323,Colorectal cancer,0.4205
hsa_circ_0017545,Colorectal cancer,0.42
hsa_circ_0021549,Colorectal cancer,0.42
hsa_circ_0000254,Colorectal cancer,0.4199
hsa_circ_0109952,Colorectal cancer,0.4199
hsa_circ_0006276,Colorectal cancer,0.4197
circ_0055408,Colorectal cancer,0.4195
hsa_circ_0021553,Colorectal cancer,0.4194
hsa_circ_0026579,Colorectal cancer,0.4191
hsa_circ_0090049,Colorectal cancer,0.4189
hsa_circ_0024108,Colorectal cancer,0.4188
hsa_circ_0040809,Colorectal cancer,0.4188
hsa_circ_0009061,Colorectal cancer,0.4187
hsa_circ_0102446,Colorectal cancer,0.4185
hsa_circ_0000915,Colorectal cancer,0.4184
hsa_circ_0066529,Colorectal cancer,0.4183
hsa_circ_0023984,Colorectal cancer,0.4181
hsa_circ_0000976,Colorectal cancer,0.4181
hsa_circ_0014635,Colorectal cancer,0.4179
hsa_circ_0000096,Colorectal cancer,0.4178
hsa_circ_0024169,Colorectal cancer,0.4176
hsa_circ_0003506,Colorectal cancer,0.4175
hsa_circ_0008934,Colorectal cancer,0.4175
hsa_circ_0000337,Colorectal cancer,0.4174
hsa_circ_0085154,Colorectal cancer,0.4172
hsa_circ_0074990,Colorectal cancer,0.4171
hsa_circ_0132980,Colorectal cancer,0.4169
hsa_circ_0000646,Colorectal cancer,0.4168
hsa_circ_0083964,Colorectal cancer,0.4167
hsa_circ_0037751,Colorectal cancer,0.4164
hsa_circ_0091074,Colorectal cancer,0.4164
hsa_circ_0000345,Colorectal cancer,0.4163
circ_0085289,Colorectal cancer,0.4163
hsa_circ_0003258,Colorectal cancer,0.4163
hsa_circ_0083357,Colorectal cancer,0.4162
hsa_circ_0001009,Colorectal cancer,0.4161
hsa_circ_0009581,Colorectal cancer,0.4161
hsa_circ_0085553,Colorectal cancer,0.416
hsa_circ_0082824,Colorectal cancer,0.416
hsa_circ_0003496,Colorectal cancer,0.4158
hsa_circ_0028173,Colorectal cancer,0.4158
hsa_circ_0002402,Colorectal cancer,0.4156
hsa_circ_0009109,Colorectal cancer,0.4155
hsa_circ_0037515,Colorectal cancer,0.4155
hsa_circ_0030045,Colorectal cancer,0.4154
circ_002276,Colorectal cancer,0.4152
hsa_circ_0001846,Colorectal cancer,0.4151
hsa_circ_0005758,Colorectal cancer,0.415
hsa_circ_0069094,Colorectal cancer,0.4149
hsa_circ_0057093,Colorectal cancer,0.4149
hsa_circ_0006127,Colorectal cancer,0.4147
hsa_circ_0057336,Colorectal cancer,0.4147
hsa_circ_0001667,Colorectal cancer,0.4144
hsa_circ_0004777,Colorectal cancer,0.4142
hsa_circ_0024002,Colorectal cancer,0.4141
hsa_circ_0062270,Colorectal cancer,0.414
hsa_circ_0001715,Colorectal cancer,0.414
hsa_circ_0127664,Colorectal cancer,0.414
hsa_circ_0002137,Colorectal cancer,0.414
hsa_circ_0000042,Colorectal cancer,0.4137
hsa_circ_0000847,Colorectal cancer,0.4136
hsa_circ_0000673,Colorectal cancer,0.4134
hsa_circ_0058092,Colorectal cancer,0.4134
hsa_circ_0049055,Colorectal cancer,0.4133
hsa_circ_0092306,Colorectal cancer,0.4133
hsa_circ_0002495,Colorectal cancer,0.4132
hsa_circ_0066444,Colorectal cancer,0.4131
hsa_circ_0031979,Colorectal cancer,0.4131
hsa_circ_0005622,Colorectal cancer,0.413
hsa_circ_0017252,Colorectal cancer,0.4129
hsa_circ_0000378,Colorectal cancer,0.4128
circ_0032462,Colorectal cancer,0.4128
hsa_circ_0000172,Colorectal cancer,0.4128
hsa_circ_0099198,Colorectal cancer,0.4125
hsa_circ_0103398,Colorectal cancer,0.4123
circ_0005273,Colorectal cancer,0.4123
hsa_circ_0085533,Colorectal cancer,0.4123
hsa_circ_0032463,Colorectal cancer,0.412
circ_0001178,Colorectal cancer,0.4119
hsa_circ_0043532,Colorectal cancer,0.4116
hsa_circ_0000098,Colorectal cancer,0.4114
hsa_circ_0097435,Colorectal cancer,0.4114
circ_0102049,Colorectal cancer,0.4112
hsa_circ_0032627,Colorectal cancer,0.4107
hsa_circ_003785,Colorectal cancer,0.4107
hsa_circ_0079549,Colorectal cancer,0.4105
hsa_circ_0004798,Colorectal cancer,0.4104
hsa_circ_0092341,Colorectal cancer,0.4103
hsa_circ_0000092,Colorectal cancer,0.4103
hsa_circ_0000735,Colorectal cancer,0.4103
hsa_circ_0001255,Colorectal cancer,0.4098
circ_0037655,Colorectal cancer,0.4098
circ_0000285,Colorectal cancer,0.4097
hsa_circ_0032462,Colorectal cancer,0.4097
hsa_circ_0032603,Colorectal cancer,0.4096
hsa_circ_0003528,Colorectal cancer,0.4095
hsa_circ_0006633,Colorectal cancer,0.4092
hsa_circ_0037516,Colorectal cancer,0.4089
hsa_circ_0005402,Colorectal cancer,0.4088
hsa_circ_0004062,Colorectal cancer,0.4086
hsa_circ_0075341,Colorectal cancer,0.4086
circ_0004136,Colorectal cancer,0.4083
hsa_circ_0003204,Colorectal cancer,0.4083
circ_0008274,Colorectal cancer,0.4082
hsa_circ_0043144,Colorectal cancer,0.4081
circ_0075538,Colorectal cancer,0.408
hsa_circ_0000654,Colorectal cancer,0.408
hsa_circ_0067103,Colorectal cancer,0.4078
hsa_circ_0007843,Colorectal cancer,0.4076
circ_0079593,Colorectal cancer,0.4075
hsa_circ_0007841,Colorectal cancer,0.4073
hsa_circ_0082003,Colorectal cancer,0.407
hsa_circ_0059665,Colorectal cancer,0.407
hsa_circ_0109291,Colorectal cancer,0.407
hsa_circ_0061012,Colorectal cancer,0.407
hsa_circ_0000792,Colorectal cancer,0.4069
hsa_circ_0000707,Colorectal cancer,0.4066
hsa_circ_0050707,Colorectal cancer,0.4065
hsa_circ_0007334,Colorectal cancer,0.4064
hsa_circ_0087206,Colorectal cancer,0.4063
hsa_circ_0040823,Colorectal cancer,0.4062
hsa_circ_0031250,Colorectal cancer,0.4061
hsa_circ_0041795,Colorectal cancer,0.406
hsa_circ_0000690,Colorectal cancer,0.4056
hsa_circ_0086241,Colorectal cancer,0.4054
hsa_circ_0077837,Colorectal cancer,0.405
hsa_circ_0038648,Colorectal cancer,0.405
hsa_circ_0000516,Colorectal cancer,0.4049
hsa_circ_0036287,Colorectal cancer,0.4048
hsa_circ_0017639,Colorectal cancer,0.4048
hsa_circ_0064840,Colorectal cancer,0.4046
hsa_circ_0072568,Colorectal cancer,0.4046
hsa_circ_0001666,Colorectal cancer,0.4043
hsa_circ_0019421,Colorectal cancer,0.4042
hsa_circ_0081963,Colorectal cancer,0.4041
hsa_circ_0072410,Colorectal cancer,0.4041
hsa_circ_0014010,Colorectal cancer,0.4036
hsa_circ_0092509,Colorectal cancer,0.4036
circ_0005774,Colorectal cancer,0.4032
hsa_circ_0076251,Colorectal cancer,0.4032
hsa_circ_0006990,Colorectal cancer,0.4031
hsa_circ_0040081,Colorectal cancer,0.403
hsa_circ_0008737,Colorectal cancer,0.403
hsa_circ_0058766,Colorectal cancer,0.4029
hsa_circ_0021372,Colorectal cancer,0.4029
hsa_circ_0066755,Colorectal cancer,0.4029
hsa_circ_0017536,Colorectal cancer,0.4028
hsa_circ_0021087,Colorectal cancer,0.4025
hsa_circ_0089762,Colorectal cancer,0.4023
hsa_circ_0089172,Colorectal cancer,0.4022
hsa_circ_0046600,Colorectal cancer,0.4022
hsa_circ_0113854,Colorectal cancer,0.4022
hsa_circ_0043632,Colorectal cancer,0.402
hsa_circ_0002362,Colorectal cancer,0.4019
hsa_circ_0051240,Colorectal cancer,0.4019
hsa_circ_0123996,Colorectal cancer,0.4018
hsa_circ_0044556,Colorectal cancer,0.4017
hsa_circ_0013339,Colorectal cancer,0.4017
circ_0085616,Colorectal cancer,0.4016
hsa_circ_0052112,Colorectal cancer,0.4016
hsa_circ_0000026,Colorectal cancer,0.4012
hsa_circ_0006948,Colorectal cancer,0.4011
hsa_circ_0051470,Colorectal cancer,0.4005
hsa_circ_0006835,Colorectal cancer,0.4005
hsa_circ_0025933,Colorectal cancer,0.4004
hsa_circ_0004015,Colorectal cancer,0.4
hsa_circ_0029426,Colorectal cancer,0.4
hsa_circ_0089105,Colorectal cancer,0.3999
hsa_circ_0000260,Colorectal cancer,0.3999
hsa_circ_0000367,Colorectal cancer,0.3998
hsa_circ_0082846,Colorectal cancer,0.3998
circ_0000337,Colorectal cancer,0.3998
hsa_circ_0068610,Colorectal cancer,0.3998
hsa_circ_0005519,Colorectal cancer,0.3997
hsa_circ_0028502,Colorectal cancer,0.3996
hsa_circ_0005556,Colorectal cancer,0.3992
hsa_circ_0010090,Colorectal cancer,0.3992
hsa_circ_0034803,Colorectal cancer,0.3991
hsa_circ_0034398,Colorectal cancer,0.3991
hsa_circ_0001633,Colorectal cancer,0.3991
circ_0006892,Colorectal cancer,0.399
hsa_circ_0051443,Colorectal cancer,0.3985
hsa_circ_0023064,Colorectal cancer,0.3984
hsa_circ_0001336,Colorectal cancer,0.3983
hsa_circ_0008615,Colorectal cancer,0.3983
hsa_circ_0005442,Colorectal cancer,0.3983
hsa_circ_0078768,Colorectal cancer,0.3982
hsa_circ_0008344,Colorectal cancer,0.3981
hsa_circ_0108308,Colorectal cancer,0.3978
hsa_circ_0008035,Colorectal cancer,0.3978
circ_0007841,Colorectal cancer,0.3978
circ_0029426,Colorectal cancer,0.3978
hsa_circ_0067209,Colorectal cancer,0.3977
hsa_circ_0054971,Colorectal cancer,0.3977
circ_0000326,Colorectal cancer,0.3977
hsa_circ_0000519,Colorectal cancer,0.3975
hsa_circ_0005082,Colorectal cancer,0.3972
hsa_circ_0002168,Colorectal cancer,0.3972
hsa_circ_0001561,Colorectal cancer,0.3971
hsa_circ_0009547,Colorectal cancer,0.3971
hsa_circ_0001681,Colorectal cancer,0.3969
hsa_circ_0004594,Colorectal cancer,0.3968
hsa_circ_0000981,Colorectal cancer,0.3964
hsa_circ_0102273,Colorectal cancer,0.3964
hsa_circ_0075828,Colorectal cancer,0.3963
hsa_circ_0089552,Colorectal cancer,0.3962
circ_00121,Colorectal cancer,0.3961
hsa_circ_0000326,Colorectal cancer,0.396
hsa_circ_0039053,Colorectal cancer,0.3959
hsa_circ_0001824,Colorectal cancer,0.3959
hsa_circ_0043497,Colorectal cancer,0.3957
hsa_circ_0000670,Colorectal cancer,0.3956
hsa_circ_0020707,Colorectal cancer,0.3956
hsa_circ_0024892,Colorectal cancer,0.3955
hsa_circ_0004442,Colorectal cancer,0.3955
hsa_circ_0039161,Colorectal cancer,0.3954
hsa_circ_0033144,Colorectal cancer,0.3954
hsa_circ_0001895,Colorectal cancer,0.3953
hsa_circ_0032131,Colorectal cancer,0.3953
hsa_circ_0007385,Colorectal cancer,0.3951
hsa_circ_0006240,Colorectal cancer,0.3949
hsa_circ_0060180,Colorectal cancer,0.3946
hsa_circ_0000944,Colorectal cancer,0.3946
hsa_circ_0006109,Colorectal cancer,0.3946
hsa_circ_0018289,Colorectal cancer,0.3945
hsa_circ_0087215,Colorectal cancer,0.3942
hsa_circ_0005224,Colorectal cancer,0.3941
hsa_circ_0033155,Colorectal cancer,0.3939
hsa_circ_0001467,Colorectal cancer,0.3937
hsa_circ_0087653,Colorectal cancer,0.3936
hsa_circ_0007777,Colorectal cancer,0.3936
hsa_circ_0036763,Colorectal cancer,0.3936
hsa_circ_0039943,Colorectal cancer,0.3934
hsa_circ_0087960,Colorectal cancer,0.3933
hsa_circ_0031594,Colorectal cancer,0.3931
circ_0071662,Colorectal cancer,0.393
hsa_circ_0002018,Colorectal cancer,0.393
hsa_circ_0023956,Colorectal cancer,0.3929
hsa_circ_0008975,Colorectal cancer,0.3928
hsa_circ_0084922,Colorectal cancer,0.3928
circ_0018289,Colorectal cancer,0.3928
hsa_circ_0075829,Colorectal cancer,0.3926
hsa_circ_0006282,Colorectal cancer,0.3926
hsa_circ_0005757,Colorectal cancer,0.3925
hsa_circ_0004812,Colorectal cancer,0.3925
hsa_circ_0005105,Colorectal cancer,0.3924
hsa_circ_0003221,Colorectal cancer,0.3922
hsa_circ_0012919,Colorectal cancer,0.3922
hsa_circ_0054657,Colorectal cancer,0.3921
hsa_circ_0081001,Colorectal cancer,0.3921
circ_0084927,Colorectal cancer,0.3921
hsa_circ_0072758,Colorectal cancer,0.3921
hsa_circ_0046366,Colorectal cancer,0.392
hsa_circ_0068515,Colorectal cancer,0.3918
hsa_circ_0057340,Colorectal cancer,0.3918
hsa_circ_0001839,Colorectal cancer,0.3914
circ_0034642,Colorectal cancer,0.3913
hsa_circ_0088344,Colorectal cancer,0.3912
hsa_circ_0077179,Colorectal cancer,0.391
hsa_circ_0086376,Colorectal cancer,0.391
hsa_circ_0025129,Colorectal cancer,0.3908
hsa_circ_0017446,Colorectal cancer,0.3908
hsa_circ_0003391,Colorectal cancer,0.3908
hsa_circ_0049613,Colorectal cancer,0.3907
hsa_circ_0005777,Colorectal cancer,0.3907
hsa_circ_0004872,Colorectal cancer,0.3907
hsa_circ_0067531,Colorectal cancer,0.3905
hsa_circ_0106803,Colorectal cancer,0.39
circ_0023942,Colorectal cancer,0.39
hsa_circ_0092340,Colorectal cancer,0.3899
hsa_circ_0014130,Colorectal cancer,0.3899
hsa_circ_0006427,Colorectal cancer,0.3898
hsa_circ_0039388,Colorectal cancer,0.3898
hsa_circ_0043949,Colorectal cancer,0.3898
hsa_circ_0001910,Colorectal cancer,0.3896
hsa_circ_0001017,Colorectal cancer,0.3896
hsa_circ_0006461,Colorectal cancer,0.3893
hsa_circ_0047285,Colorectal cancer,0.389
hsa_circ_0007146,Colorectal cancer,0.389
hsa_circ_0062163,Colorectal cancer,0.3889
hsa_circ_0000328,Colorectal cancer,0.3889
hsa_circ_0003505,Colorectal cancer,0.3888
circ_0008193,Colorectal cancer,0.3887
hsa_circ_0006774,Colorectal cancer,0.3887
hsa_circ_0037911,Colorectal cancer,0.3887
hsa_circ_0005870,Colorectal cancer,0.3886
hsa_circ_006371,Colorectal cancer,0.3886
hsa_circ_0070963,Colorectal cancer,0.3885
circ_0023642,Colorectal cancer,0.3885
hsa_circ_0003146,Colorectal cancer,0.3884
hsa_circ_0081000,Colorectal cancer,0.3884
hsa_circ_0002320,Colorectal cancer,0.3883
hsa_circ_0006732,Colorectal cancer,0.3882
hsa_circ_0001836,Colorectal cancer,0.3881
hsa_circ_0004519,Colorectal cancer,0.3881
hsa_circ_0128332,Colorectal cancer,0.388
hsa_circ_0008410,Colorectal cancer,0.3879
hsa_circ_0092374,Colorectal cancer,0.3876
hsa_circ_0125357,Colorectal cancer,0.3876
hsa_circ_0008016,Colorectal cancer,0.3874
hsa_circ_0062389,Colorectal cancer,0.3873
hsa_circ_0005051,Colorectal cancer,0.3872
hsa_circ_0092315,Colorectal cancer,0.3872
hsa_circ_0137814,Colorectal cancer,0.3872
hsa_circ_0101145,Colorectal cancer,0.3871
hsa_circ_0001874,Colorectal cancer,0.3865
hsa_circ_0001438,Colorectal cancer,0.3865
hsa_circ_0003489,Colorectal cancer,0.3865
circ_0001836,Colorectal cancer,0.3864
hsa_circ_0001361,Colorectal cancer,0.3864
hsa_circ_0012737,Colorectal cancer,0.3863
hsa_circ_0132813,Colorectal cancer,0.3863
hsa_circ_0005529,Colorectal cancer,0.386
hsa_circ_0010882,Colorectal cancer,0.3859
hsa_circ_0001725,Colorectal cancer,0.3859
hsa_circ_0102272,Colorectal cancer,0.3858
hsa_circ_0002360,Colorectal cancer,0.3857
hsa_circ_0001312,Colorectal cancer,0.3857
hsa_circ_0052012,Colorectal cancer,0.3856
hsa_circ_0003575,Colorectal cancer,0.3855
hsa_circ_0067512,Colorectal cancer,0.3855
hsa_circ_0079480,Colorectal cancer,0.3854
hsa_circ_0093859,Colorectal cancer,0.3854
hsa_circ_0001038,Colorectal cancer,0.3853
circ_0020394,Colorectal cancer,0.3853
hsa_circ_0002161,Colorectal cancer,0.3852
hsa_circ_0002130,Colorectal cancer,0.3852
hsa_circ_0029589,Colorectal cancer,0.3851
hsa_circ_0000554,Colorectal cancer,0.3851
hsa_circ_0005389,Colorectal cancer,0.3849
circ_000987,Colorectal cancer,0.3848
hsa_circ_0001200,Colorectal cancer,0.3846
hsa_circ_0018534,Colorectal cancer,0.3845
hsa_circ_0041796,Colorectal cancer,0.3845
hsa_circ_0034537,Colorectal cancer,0.3844
hsa_circ_001242,Colorectal cancer,0.3844
hsa_circ_0006220,Colorectal cancer,0.3844
hsa_circ_0001588,Colorectal cancer,0.3843
hsa_circ_0001400,Colorectal cancer,0.3843
hsa_circ_0003090,Colorectal cancer,0.3841
hsa_circ_0083682,Colorectal cancer,0.3837
hsa_circ_0005571,Colorectal cancer,0.3837
hsa_circ_0131457,Colorectal cancer,0.3836
hsa_circ_0001801,Colorectal cancer,0.3834
hsa_circ_0000977,Colorectal cancer,0.3834
hsa_circ_001436,Colorectal cancer,0.3832
hsa_circ_0071820,Colorectal cancer,0.3832
hsa_circ_0008193,Colorectal cancer,0.3831
hsa_circ_0008832,Colorectal cancer,0.3831
hsa_circ_0030998,Colorectal cancer,0.383
hsa_circ_0001806,Colorectal cancer,0.3829
hsa_circ_0000002,Colorectal cancer,0.3829
hsa_circ_0090956,Colorectal cancer,0.3829
hsa_circ_0058819,Colorectal cancer,0.3828
